date,P,T,E,Q,Qmm
25/03/1999,0.1,10.3,2.57,0.0,0.0
26/03/1999,0.0,10.7,3.8,0.0,0.0
27/03/1999,3.9,11.5,3.58,0.0,0.0
28/03/1999,17.9,11.4,1.28,0.0,0.0
29/03/1999,12.5,9.9,1.54,0.0,0.0
30/03/1999,2.9,8.5,1.94,0.0,0.0
31/03/1999,4.9,9.2,1.88,0.0,0.0
01/04/1999,2.2,9.2,2.19,0.0,0.0
02/04/1999,2.9,9.9,2.7,0.0,0.0
03/04/1999,3.6,9.3,2.49,0.0,0.0
04/04/1999,3.0,10.1,2.56,0.0,0.0
05/04/1999,3.8,10.2,2.67,0.0,0.0
06/04/1999,0.4,11.7,3.01,0.0,0.0
07/04/1999,0.1,13.1,4.0,0.0,0.0
08/04/1999,0.0,13.6,4.53,0.0,0.0
09/04/1999,0.0,14.4,4.44,0.0,0.0
10/04/1999,0.2,15.5,4.89,0.0,0.0
11/04/1999,1.1,12.6,3.57,0.0,0.0
12/04/1999,2.9,11.8,3.1,0.0,0.0
13/04/1999,1.6,12.2,2.9,0.0,0.0
14/04/1999,1.3,13.1,3.61,0.0,0.0
15/04/1999,0.0,13.8,4.53,0.0,0.0
16/04/1999,0.0,16.8,4.81,0.0,0.0
17/04/1999,0.0,17.5,3.93,0.0,0.0
18/04/1999,0.0,18.0,5.9,0.0,0.0
19/04/1999,0.1,14.0,4.78,0.0,0.0
20/04/1999,0.0,13.0,4.81,0.0,0.0
21/04/1999,0.0,13.7,4.8,0.0,0.0
22/04/1999,0.0,14.9,4.75,0.0,0.0
23/04/1999,0.0,16.7,5.23,0.0,0.0
24/04/1999,0.2,17.9,5.36,0.0,0.0
25/04/1999,0.0,17.7,5.47,0.0,0.0
26/04/1999,2.7,17.5,5.07,0.0,0.0
27/04/1999,0.0,16.2,5.05,0.0,0.0
28/04/1999,0.0,16.7,5.45,0.0,0.0
29/04/1999,0.0,17.0,5.35,0.0,0.0
30/04/1999,0.1,19.4,5.93,0.0,0.0
01/05/1999,0.0,21.0,6.62,0.0,0.0
02/05/1999,0.0,21.9,6.94,0.0,0.0
03/05/1999,0.0,22.1,6.79,0.0,0.0
04/05/1999,0.0,22.9,6.6,0.0,0.0
05/05/1999,0.7,23.4,7.23,0.0,0.0
06/05/1999,0.0,19.7,6.58,0.0,0.0
07/05/1999,0.0,15.3,5.71,0.0,0.0
